Book Title,Author Name,Runtime
Change Your Brain Every Day,Daniel Amen,15 hrs and 8 mins
Happy Place,Emily Henry,11 hrs and 3 mins
"The Utterly Uninteresting and Unadventurous Tales of Fred, the Vampire Accountant",Drew Hayes,7 hrs and 2 mins
The Joy of Well-Being,"Colleen Wachob, Jason Wachob",9 hrs and 13 mins
Tragic Bonds,J Bree,10 hrs and 4 mins
The Strangest Forms,Gregory Ashe,11 hrs and 30 mins
Four Battlegrounds,Paul Scharre,13 hrs and 10 mins
Knight Revelations,B.M. Clemton,10 hrs and 4 mins
The Lion,Jamie Lee Grey,8 hrs and 15 mins
Twisted,Emily McIntire,10 hrs and 44 mins
Inside Delta Force,Command Sergeant Major Eric L. Haney,13 hrs and 1 min
Dessert with Buddha,Roland Merullo,9 hrs and 12 mins
"Strong Fathers, Strong Daughters",Meg Meeker,7 hrs and 4 mins
Beautiful Disaster,Jamie McGuire,10 hrs and 30 mins
To Sell Is Human,Daniel H. Pink,6 hrs and 6 mins
Wicked,Gregory Maguire,19 hrs and 42 mins
A Tree Grows in Brooklyn,Betty Smith,14 hrs and 55 mins
The Keeper of Lost Things,Ruth Hogan,8 hrs and 34 mins
Pussy,Regena Thomashauer,9 hrs and 32 mins
The Emperor of All Maladies,Siddhartha Mukherjee,22 hrs and 18 mins
How to Be a Great Boss,"Gino Wickman, René Boer",3 hrs and 37 mins
Around the Way Girl,Taraji P. Henson,7 hrs and 27 mins
The Day After Roswell,"William J. Birnes, Philip Corso",12 hrs and 31 mins
The Dispossessed,Ursula K. Le Guin,13 hrs and 25 mins
John Dies at the End,David Wong,14 hrs and 17 mins
So Good They Can't Ignore You,Cal Newport,6 hrs and 28 mins
The Road Back to You,"Ian Morgan Cron, Suzanne Stabile",9 hrs and 17 mins
Lilac Girls,Martha Hall Kelly,17 hrs and 30 mins
The Mists of Avalon,Marion Zimmer Bradley,50 hrs and 53 mins
Contagious,Jonah Berger,6 hrs and 50 mins
The One and Only Ivan,"Katherine Applegate, Patricia Castelao",3 hrs and 46 mins
The Art of Thinking Clearly,Rolf Dobelli,7 hrs and 49 mins
Goldratt's Rules of Flow,Efrat Goldratt-Ashlag,4 hrs and 10 mins
Rebecca,Daphné du Maurier,14 hrs and 48 mins
Designing Your Life,"Bill Burnett, Dave Evans",6 hrs and 18 mins
What Got You Here Won't Get You There,"Marshall Goldsmith, Mark Reiter",9 hrs and 39 mins
Dumbing Us Down,John Taylor Gatto,3 hrs and 19 mins
The Devil's Chessboard,David Talbot,25 hrs and 23 mins
The Five People You Meet in Heaven,Mitch Albom,4 hrs and 38 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,98 hrs and 1 min
Nemesis,Wilbur Smith,17 hrs and 6 mins
Angels Against the Sun,James M. Fenelon,12 hrs and 49 mins
The Guest,Emma Cline,8 hrs and 36 mins
Killing Sacred Cows,Garrett B. Gunderson,8 hrs and 11 mins
1491,Charles C. Mann,16 hrs and 17 mins
I Don't Want to Talk About It,Terrence Real,12 hrs and 28 mins
How to Build a Car,Adrian Newey,12 hrs and 26 mins
Their Eyes Were Watching God,Zora Neale Hurston,6 hrs and 44 mins
They Both Die at the End,Adam Silvera,8 hrs and 30 mins
Infinite Jest,David Foster Wallace,56 hrs and 12 mins
The Road Less Traveled,M. Scott Peck M.D.,4 hrs and 23 mins
The Checklist Manifesto,Atul Gawande,6 hrs and 9 mins
The Hate U Give,Angie Thomas,11 hrs and 50 mins
Wiedergeburt: Legend of the Reincarnated Warrior: Volume 5,Brandon Varnell,7 hrs and 14 mins
American Nations,Colin Woodard,12 hrs and 51 mins
The Heart's Invisible Furies,John Boyne,21 hrs and 10 mins
Predictably Irrational,Dan Ariely,7 hrs and 22 mins
Once an Eagle,Anton Myrer,41 hrs and 20 mins
Empire of Lust,J. L. Beck,10 hrs and 38 mins
Things Hidden Since the Foundation of the World,René Girard,21 hrs and 25 mins
